Song,Artist,Weeks On Chart,Peak Rank
1675,Beautiful,Bazzi Featuring Camila Cabello,25,26
1676,Coffee Bean,Travis Scott,0,68
1677,Could've Been,H.E.R. Featuring Bryson Tiller,0,76
1678,Trip,Ella Mai,25,11
1679,Lean Wit Me,Juice WRLD,8,68
1680,Barbie Dreams,Nicki Minaj,7,18
1681,Taking A Walk,Trippie Redd,3,46
1682,Majesty,Nicki Minaj Featuring Eminem & Labrinth,0,58
1683,Ganja Burns,Nicki Minaj,0,60
1684,W O R K I N  M E,Quavo,15,52
1685,Album Of The Year (Freestyle),J. Cole,0,87
1686,Have It All,Jason Mraz,0,90
1687,Drew Barrymore,Bryce Vine,14,46
1688,She Got The Best Of Me ,Luke Combs,23,31
1689,Thought I Knew You,Nicki Minaj Featuring The Weeknd,0,98
1690,Breathin,Ariana Grande,23,12
1691,Sweetener,Ariana Grande,0,55
1692,Everytime,Ariana Grande,0,62
1693,Promises,Calvin Harris & Sam Smith,12,65
1694,R.E.M,Ariana Grande,0,72
1695,Blue Tacoma,Russell Dickerson,18,52
1696,Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,4,78
1697,Goodnight N Go,Ariana Grande,0,87
1698,Made For Now,Janet & Daddy Yankee,0,88
1699,Pete Davidson,Ariana Grande,0,99
1700,IDOL,BTS Featuring Nicki Minaj,3,11
1701,I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2,69
1702,Unica,Ozuna,0,72
1703,Mo Bamba,Sheck Wes,22,6
1704,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,19,56
1705,Drunk Girl,Chris Janson,10,79
1706,The Way I Am,Charlie Puth,7,61
1707,Happy Now,Zedd & Elley Duhe,0,90
1708,Lucky You,Eminem Featuring Joyner Lucas,14,6
1709,The Ringer,Eminem,4,8
1710,Fall,Eminem,4,12
1711,Kamikaze,Lil Mosey,3,16
1712,Greatest,Eminem,2,23
1713,Not Alike,Eminem Featuring Royce Da 5'9,3,24
1714,BEBE,6ix9ine Featuring Anuel AA,5,30
1715,Normal,Eminem,0,39
1716,Stepping Stone,Eminem,0,42
1717,Venom,Eminem,5,43
1718,Feels Like Summer,Childish Gambino,2,54
1719,Nice Guy,Eminem & Jessie Reyez,0,65
1720,Good Guy,Eminem Featuring Jessie Reyez,0,67
1721,Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",5,67
1722,Hangin' On,Chris Young,13,63
1723,I Love It,Kanye West & Lil Pump,12,6
1724,Rap Devil,Machine Gun Kelly,4,13
1725,Self Care,Mac Miller,3,33
1726,Hurt Feelings,Mac Miller,0,70
1727,Come Back To Earth,Mac Miller,0,91
1728,Vaina Loca,Ozuna x Manuel Turizo,2,94
1729,Speechless,Dan + Shay,20,24
1730,Electricity,Silk City x Dua Lipa,10,62
1731,Killshot,Eminem,8,3
1732,Drip Too Hard,Lil Baby & Gunna,19,4
1733,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,19,11
1734,New Patek,Lil Uzi Vert,7,24
1735,Better,Khalid,19,22
1736,Falling Down,Lil Peep & XXXTENTACION,11,13
1737,Pretty Little Fears,6LACK Featuring J. Cole,0,76
1738,Leave Me Alone,Flipp Dinero,19,21
1739,Best Shot,Jimmie Allen,19,37
1740,Noticed,Lil Mosey,10,80
1741,No Stylist,French Montana Featuring Drake,18,47
1742,Head Above Water,Avril Lavigne,2,64
1743,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,15,50
1744,Backin' It Up,Pardison Fontaine Featuring Cardi B,15,40
1745,Rich,Maren Morris,8,62
1746,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,8,2
1747,Don't Cry,Lil Wayne Featuring XXXTENTACION,3,5
1748,Uproar,Lil Wayne,17,7
1749,Let It Fly,Lil Wayne Featuring Travis Scott,2,10
1750,Dedicate,Lil Wayne,2,14
1751,Can't Be Broken,Lil Wayne,2,17
1752,What About Me,Lil Wayne Featuring Sosamann,0,24
1753,Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,0,26
1754,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",17,11
1755,Shallow,Lady Gaga & Bradley Cooper,17,5
1756,Dope N****z,Lil Wayne Featuring Snoop Dogg,0,39
1757,Open Letter,Lil Wayne,0,47
1758,"If I'm Lyin, I'm Flyin",Kodak Black,3,56
1759,Problems,Lil Wayne,0,57
1760,Hittas,Lil Wayne,0,59
1761,Open Safe,Lil Wayne,0,62
1762,Took His Time,Lil Wayne,0,65
1763,Mess,Lil Wayne,0,74
1764,Let It All Work Out,Lil Wayne,0,75
1765,Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,0,76
1766,Used 2,Lil Wayne,0,78
1767,Demon,Lil Wayne,0,81
1768,Perfect Strangers,Lil Wayne,0,86
1769,Dope New Gospel,Lil Wayne Featuring Nivea,0,90
1770,Never Recover,Lil Baby & Gunna Featuring Drake,8,15
1771,Without Me,Halsey,16,1
1772,STOOPID,6ix9ine Featuring Bobby Shmurda,9,25
1773,Close Friends,Lil Baby,14,28
1774,I'll Never Love Again,Lady Gaga,6,36
1775,Always Remember Us This Way,Lady Gaga,6,41
1776,Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,0,54
1777,Business Is Business,Lil Baby & Gunna,0,61
1778,Is That Alright?,Lady Gaga,0,63
1779,Belly,Lil Baby & Gunna,0,80
1780,My Blood,twenty one pilots,0,81
1781,Maybe It's Time,Bradley Cooper,0,93
1782,Deep End,Lil Baby,0,97
1783,I Am,Lil Baby & Gunna,0,98
1784,ZEZE,Kodak Black Featuring Travis Scott & Offset,15,2
1785,MIA,Bad Bunny Featuring Drake,15,5
1786,Flip The Switch,Quavo Featuring Drake,0,48
1787,Pass Out,Quavo Featuring 21 Savage,0,61
1788,Biggest Alley Oop,Quavo,0,86
1789,Rerun,Quavo Featuring Travis Scott,0,88
1790,Huncho Dreams,Quavo,0,93
1791,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,14,1
1792,Fine China,Future & Juice WRLD,13,26
1793,Money,Cardi B,14,13
1794,When The Party's Over,Billie Eilish,14,52
1795,Jet Lag,Future & Juice WRLD Featuring Young Scooter,0,72
1796,Astronauts,Future & Juice WRLD,0,82
1797,Saturday Nights,Khalid & Kane Brown,3,57
1798,Suncity,Khalid Featuring Empress Of,0,88
1799,Vertigo,Khalid,0,89
1800,Yacht Club,Lil Yachty Featuring Juice WRLD,0,91
1801,Make It Back,Juice WRLD,0,92
1802,Kiss And Make Up,Dua Lipa & BLACKPINK,0,93
1803,Get Dripped,Lil Yachty Featuring Playboi Carti,0,98
1804,Burning Man,Dierks Bentley Featuring Brothers Osborne,14,45
1805,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,13,28
1806,Last Memory,TakeOff,2,54
1807,Talk To Me,Tory Lanez & Rich The Kid,13,43
1808,Topanga,Trippie Redd,5,52
1809,Dip,Tyga & Nicki Minaj,8,63
1810,Waste It On Me,Steve Aoki Featuring BTS,0,89
1811,A Million Dreams,P!nk,0,90
1812,"Thank U, Next",Ariana Grande,12,1
1813,Don't Come Out The House,Metro Boomin Featuring 21 Savage,4,38
1814,10 Freaky Girls,Metro Boomin Featuring 21 Savage,4,42
1815,Space Cadet,Metro Boomin Featuring Gunna,6,51
1816,Overdue,Metro Boomin Featuring Travis Scott,0,62
1817,Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,0,72
1818,No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",0,79
1819,Ella Quiere Beber,Anuel AA & Romeo Santos,12,61
1820,Consequences,Camila Cabello,12,51
1821,Casper,TakeOff,0,99
1822,Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,0,100
1823,BAD!,XXXTENTACION,10,16
1824,Armed And Dangerous,Juice WRLD,11,44
1825,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,3,55
1826,Love Scars 3,Trippie Redd,0,73
1827,Negative Energy,Trippie Redd Featuring Kodie Shane,0,89
1828,Sixteen,Thomas Rhett,11,42
1829,Good Girl,Dustin Lynch,11,44
1830,Last Shot,Kip Moore,8,53
1831,Millionaire,Chris Stapleton,7,67
1832,Toxic Waste,Trippie Redd,0,98
1833,Take One,Kodak Black,0,81
1834,Twerk,City Girls Featuring Cardi B,3,29
1835,Ocean Eyes,Billie Eilish,5,96
1836,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,10,28
1837,Girl Like You,Jason Aldean,9,46
1838,Burn The House Down,AJR,0,100
1839,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,4,43
1840,KIKA,6ix9ine Featuring Tory Lanez,6,44
1841,TIC TOC,6ix9ine Featuring Lil Baby,3,53
1842,Come Out And Play,Billie Eilish,0,69
1843,WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,3,51
1844,You,Jacquees,9,58
1845,Going Bad,Meek Mill Featuring Drake,8,6
1846,What's Free,Meek Mill Featuring Rick Ross & JAY-Z,2,20
1847,On Me,Meek Mill Featuring Cardi B,2,30
1848,Rudolph The Red-Nosed Reindeer,Gene Autry,4,16
1849,Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,3,39
1850,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,4,20
1851,Pure Cocaine,Lil Baby,7,46
1852,24/7,Meek Mill Featuring Ella Mai,3,54
1853,Respect The Game,Meek Mill,0,57
1854,Good Form,Nicki Minaj Featuring Lil Wayne,6,60
1855,Trauma,Meek Mill,0,61
1856,Time,Lil Baby Featuring Meek Mill,0,62
1857,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,6,63
1858,Calling My Spirit,Kodak Black,8,46
1859,Ready,Lil Baby Featuring Gunna,0,66
1860,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,8,43
1861,Championships,Meek Mill,0,70
1862,Tic Tac Toe,Meek Mill Featuring Kodak Black,0,72
1863,Almost Slipped,Meek Mill,0,73
1864,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",0,77
1865,Pay You Back,Meek Mill Featuring 21 Savage,0,78
1866,Foot Fungus,Ski Mask The Slump God,0,81
1867,Crush A Lot,Lil Baby,0,82
1868,Oodles O' Noodles Babies,Meek Mill,0,85
1869,Global,Lil Baby,0,91
1870,Word On The Street,Lil Baby,0,98
1871,whoa (mind in awe),XXXTENTACION,3,37
1872,Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,3,28
1873,Sleigh Ride,The Ronettes,3,26
1874,Guardian Angel,XXXTENTACION,0,48
1875,I Don't Let Go,XXXTENTACION,0,51
1876,One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,0,62
1877,Train Food,XXXTENTACION,0,64
1878,What Are You So Afraid Of,XXXTENTACION,0,65
1879,Staring At The Sky,XXXTENTACION,0,68
1880,Difference (Interlude),XXXTENTACION,0,84
1881,Look Back At It,A Boogie Wit da Hoodie,7,40
1882,This Is It,Scotty McCreery,7,52
1883,(There's No Place Like) Home For The Holidays,Perry Como,2,32
1884,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2,35
1885,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2,42
1886,Wonderful Christmastime,Paul McCartney,0,47
1887,White Christmas,Bing Crosby,15,34
1888,Christmas (Baby Please Come Home),Darlene Love,2,43
1889,MoshPit,Kodak Black Featuring Juice WRLD,0,58
1890,Cozy Little Christmas,Katy Perry,2,53
1891,Testimony,Kodak Black,0,74
1892,Sweet But Psycho,Ava Max,6,35
1893,Gnarly,Kodak Black Featuring Lil Pump,0,88
1894,The Christmas Song,Lauren Daigle,2,55
1895,Envy Me,Calboy,6,41
1896,A Lot,21 Savage,5,33
1897,Blue Christmas,Elvis Presley,0,40
1898,Underneath The Tree,Kelly Clarkson,4,44
1899,Run Rudolph Run,Chuck Berry,4,45
1900,Wow.,Post Malone,5,8
1901,Jingle Bells,Frank Sinatra,0,49
1902,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,5,38
1903,Can't Leave Without It,21 Savage,4,58
1904,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,5,59
1905,All My Friends,21 Savage,2,67
1906,Break Da Law,21 Savage,0,70
1907,1.5,21 Savage,0,86
1908,Out For The Night,21 Savage,0,88
1909,Gun Smoke,21 Savage,0,93
1910,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,3,90
1911,ASMR,21 Savage,0,95
1912,Baby Shark,Pinkfong,4,32
1913,Take It From Me,Jordan Davis,4,69
1914,What Makes You Country,Luke Bryan,4,70
1915,Down To The Honkytonk,Jake Owen,4,75
1916,Love Someone,Lukas Graham,4,81
1917,Love Wins,Carrie Underwood,4,83
1918,Ruin My Life,Zara Larsson,4,76
1919,Here Tonight,Brett Young,3,88
1920,Burn Out,Midland,3,92
1921,Solo de Mi,Bad Bunny,0,93
1922,Make It Sweet,Old Dominion,4,92
1923,idontwannabeyouanymore,Billie Eilish,3,96
1924,Undecided,Chris Brown,3,35
1925,Crushed Up,Future,3,43
1926,Butterfly Doors,Lil Pump,2,81
1927,Valuable Pain,YoungBoy Never Broke Again,2,87
1928,Lost In The Fire,Gesaffelstein & The Weeknd,2,27
1929,Dancing With A Stranger,Sam Smith & Normani,2,33
1930,Nights Like This,Kehlani Featuring Ty Dolla $ign,2,69
1931,Thotiana,Blueface,2,66
1932,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,0,79
1933,Jumpin On A Jet,Future,2,57
1934,Splashin,Rich The Kid,0,99
1935,7 Rings,"

Ariana Grande

",1,1
1936,MIDDLE CHILD,J. Cole,0,26
1937,Keanu Reeves,Logic,0,38
1938,First Off,Future Featuring Travis Scott,0,47
1939,Never Stop,Future,0,65
1940,Secreto,Anuel AA & Karol G,0,68
1941,Mixed Personalities,YNW Melly Featuring Kanye West,0,71
1942,Temptation,Future,0,76
1943,Rocket Ship,Future,0,79
1944,Pure Water,Mustard & Migos,0,81
1945,F&N,Future,0,83
1946,On My Way To You,Cody Johnson,0,91
1947,Murder On My Mind,YNW Melly,0,95
1948,GIRL,Maren Morris,0,96
1949,Face My Fears,Hikaru Utada & Skrillex,0,98
1950,Call The Coroner,Future,0,100
